MsgID.GLOBAL_POSITION,0.0000000,-122.3975771,37.7925793,4.9200000
MsgID.LOCAL_VELOCITY,0.0000000,6.2200000,-6.2600000,0.0000000
MsgID.LOCAL_POSITION,40.0390000,10.9895000,-11.0037861,-4.9204044
MsgID.LOCAL_VELOCITY,40.0390000,6.2286763,-6.2607322,-0.0005589
MsgID.GLOBAL_POSITION,0.0000000,-122.3975937,37.7925934,4.9160000
MsgID.LOCAL_VELOCITY,0.0000000,6.2400000,-6.2600000,0.0600000
MsgID.LOCAL_POSITION,40.2890000,12.5506639,-12.4801712,-4.9165173
MsgID.LOCAL_VELOCITY,40.2890000,6.2439203,-6.2656860,0.0601827
MsgID.GLOBAL_POSITION,0.0000000,-122.3976106,37.7926080,4.9210000
MsgID.LOCAL_VELOCITY,0.0000000,6.2400000,-6.2900000,0.0600000
MsgID.LOCAL_POSITION,40.5390000,14.1816177,-13.9928341,-4.9216104
MsgID.LOCAL_VELOCITY,40.5390000,6.2474837,-6.2919455,0.0693566
MsgID.GLOBAL_POSITION,0.0000000,-122.3976289,37.7926225,4.9230000
MsgID.LOCAL_VELOCITY,0.0000000,6.2200000,-6.3200000,0.0700000
MsgID.LOCAL_POSITION,40.7890000,15.7826738,-15.6102753,-4.9231415
MsgID.LOCAL_VELOCITY,40.7890000,6.2276587,-6.3228035,0.0718665
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976468,37.7926360,4.9340000
MsgID.LOCAL_VELOCITY,0.0000000,6.2100000,-6.3400000,0.0700000
MsgID.LOCAL_POSITION,41.0390000,17.2945862,-17.2054329,-4.9343104
MsgID.LOCAL_VELOCITY,41.0390000,6.2120929,-6.3429732,0.0791074
MsgID.LOCAL_POSITION,41.2890000,18.8392792,-18.7664680,-4.9430857
MsgID.LOCAL_VELOCITY,41.2890000,6.2106738,-6.3395042,0.1157586
MsgID.GLOBAL_POSITION,0.0000000,-122.3976644,37.7926500,4.9430000
MsgID.LOCAL_VELOCITY,0.0000000,6.2100000,-6.3300000,0.1100000
MsgID.LOCAL_POSITION,41.5390000,20.1973953,-20.3291016,-4.9378619
MsgID.LOCAL_VELOCITY,41.5390000,6.1944385,-6.2945852,0.1704573
MsgID.GLOBAL_POSITION,0.0000000,-122.3976820,37.7926622,4.9370000
MsgID.LOCAL_VELOCITY,0.0000000,6.1900000,-6.2900000,0.1700000
MsgID.LOCAL_POSITION,41.7890000,21.6363220,-21.8404865,-4.9355650
MsgID.LOCAL_VELOCITY,41.7890000,5.6368017,-5.4763227,0.1151403
MsgID.GLOBAL_POSITION,0.0000000,-122.3976990,37.7926751,4.9350000
MsgID.LOCAL_VELOCITY,0.0000000,5.6300000,-5.4700000,0.1100000
MsgID.STATE,0.0000000,True,True,1
